DOS,	Message Count
2018-9-1,	25
2018-9-2,	192
2018-9-3,	1190
2018-9-4,	918
2018-9-5,	1090
2018-9-6,	759
2018-9-7,	861
2018-9-8,	65
2018-9-9,	56
2018-9-10,	1000
2018-9-11,	1222
2018-9-12,	1267
2018-9-13,	872
2018-9-14,	1102
2018-9-15,	185
2018-9-16,	122
2018-9-17,	1078
2018-9-18,	1583
2018-9-19,	1287
2018-9-20,	1136
2018-9-21,	1310
2018-9-22,	162
2018-9-23,	9
2018-9-24,	6
2018-9-25,	1500
2018-9-26,	1341
2018-9-27,	1003
2018-9-28,	1006
2018-9-29,	177
2018-9-30,	55
2018-10-1,	1397
2018-10-2,	1397
2018-10-3,	1060
2018-10-4,	853
2018-10-5,	1349
2018-10-6,	119
2018-10-7,	118
2018-10-8,	1289
2018-10-9,	1188
2018-10-10,	1333
2018-10-11,	1382
2018-10-12,	869
2018-10-13,	96
2018-10-14,	45
2018-10-15,	1733
2018-10-16,	1110
2018-10-17,	1396
2018-10-18,	922
2018-10-19,	1250
2018-10-20,	59
2018-10-21,	38
2018-10-22,	1725
2018-10-23,	1571
2018-10-24,	1327
2018-10-25,	1391
2018-10-26,	1037
2018-10-27,	128
2018-10-28,	66
2018-10-29,	1814
2018-10-30,	1116
2018-10-31,	1305
2018-11-1,	675
2018-11-2,	803
2018-11-3,	145
2018-11-4,	20
2018-11-5,	1567
2018-11-6,	976
2018-11-7,	1277
2018-11-8,	1002
2018-11-9,	777
2018-11-10,	70
2018-11-12,	1504
2018-11-13,	898
2018-11-14,	1257
2018-11-15,	1137
2018-11-16,	1169
2018-11-17,	43
2018-11-18,	70
2018-11-19,	1566
2018-11-20,	1012
2018-11-21,	1280
2018-11-22,	1295
2018-11-23,	881
2018-11-24,	272
2018-11-25,	85
2018-11-26,	1520
2018-11-27,	1180
2018-11-28,	1380
2018-11-29,	939
2018-11-30,	925
2018-12-1,	94
2018-12-2,	122
2018-12-3,	1251
2018-12-4,	925
2018-12-5,	959
2018-12-6,	1359
2018-12-7,	825
2018-12-8,	63
2018-12-9,	141
2018-12-10,	1404
2018-12-11,	1060
2018-12-12,	1404
2018-12-13,	1182
2018-12-14,	1185
2018-12-15,	50
2018-12-16,	54
2018-12-17,	77
2018-12-18,	1206
2018-12-19,	1490
2018-12-20,	812
2018-12-21,	983
2018-12-22,	106
2018-12-23,	176
2018-12-24,	708
2018-12-25,	48
2018-12-26,	144
2018-12-27,	626
2018-12-28,	735
2018-12-29,	71
2018-12-30,	117
2018-12-31,	893
2019-1-1,	58
2019-1-2,	426
2019-1-3,	785
2019-1-4,	685
2019-1-5,	56
2019-1-6,	16
2019-1-7,	1101
2019-1-8,	726
2019-1-9,	1139
2019-1-10,	883
2019-1-11,	1075
2019-1-12,	440
2019-1-13,	55
2019-1-14,	1605
2019-1-15,	1263
2019-1-16,	1276
2019-1-17,	1216
2019-1-18,	1427
2019-1-19,	274
2019-1-20,	178
2019-1-21,	1446
2019-1-22,	2051
2019-1-23,	1657
2019-1-24,	1267
2019-1-25,	996
2019-1-26,	229
2019-1-27,	188
2019-1-28,	1840
2019-1-29,	1643
2019-1-30,	2123
2019-1-31,	1973
2019-2-1,	1431
2019-2-2,	254
2019-2-3,	257
2019-2-4,	1530
2019-2-5,	1502
2019-2-6,	2080
2019-2-7,	2019
2019-2-8,	1480
2019-2-9,	224
2019-2-10,	151
2019-2-11,	2038
2019-2-12,	1749
2019-2-13,	1621
2019-2-14,	1513
2019-2-15,	1873
2019-2-16,	232
2019-2-17,	99
2019-2-18,	1993
2019-2-19,	1478
2019-2-20,	1971
2019-2-21,	1298
2019-2-22,	1483
2019-2-23,	512
2019-2-24,	29
2019-2-25,	1474
2019-2-26,	2097
